user_id,role,experience_level
314,Database Administrator,Entry Level
315,UX Designer,Entry Level
316,UX Designer,Mid Level
317,Security Analyst,Mid Level
318,Security Analyst,Senior
319,Security Analyst,Senior
320,DevOps Engineer,Entry Level
321,Data Scientist,Senior
322,Cloud Architect,Entry Level
323,Software Developer,Entry Level
324,UX Designer,Mid Level
325,DevOps Engineer,Senior
326,Cloud Architect,Senior
327,AI Engineer,Mid Level
328,Database Administrator,Entry Level
329,Database Administrator,Mid Level
330,Network Administrator,Mid Level
331,Database Administrator,Mid Level
332,Data Scientist,Entry Level
333,Cloud Architect,Senior
334,UX Designer,Senior
335,Software Developer,Entry Level
336,Software Developer,Entry Level
337,Network Administrator,Entry Level
338,DevOps Engineer,Entry Level
339,UX Designer,Mid Level
340,DevOps Engineer,Entry Level
341,Cloud Architect,Mid Level
342,AI Engineer,Mid Level
343,Data Scientist,Senior
344,Security Analyst,Senior
345,Database Administrator,Entry Level
346,UX Designer,Entry Level
347,Data Scientist,Senior
348,Software Developer,Senior
349,Security Analyst,Mid Level
350,Cloud Architect,Mid Level
351,Software Developer,Entry Level
352,Software Developer,Mid Level
353,Cloud Architect,Senior
354,Software Developer,Entry Level
355,Product Manager,Mid Level
356,Software Developer,Entry Level
357,Security Analyst,Mid Level
358,DevOps Engineer,Entry Level
359,Product Manager,Entry Level
360,Security Analyst,Entry Level
361,AI Engineer,Mid Level
362,DevOps Engineer,Entry Level
363,Security Analyst,Mid Level
364,Cloud Architect,Mid Level
365,Software Developer,Senior
366,Network Administrator,Mid Level
367,Software Developer,Entry Level
368,Database Administrator,Mid Level
369,Database Administrator,Senior
370,AI Engineer,Mid Level
371,Data Scientist,Mid Level
372,UX Designer,Senior
373,Data Scientist,Entry Level
374,UX Designer,Entry Level
375,Cloud Architect,Entry Level
376,Product Manager,Senior
377,Security Analyst,Entry Level
378,Data Scientist,Senior
379,DevOps Engineer,Senior
380,UX Designer,Mid Level
381,UX Designer,Mid Level
382,Data Scientist,Mid Level
383,DevOps Engineer,Senior
384,Data Scientist,Entry Level
385,UX Designer,Entry Level
386,Database Administrator,Senior
387,Product Manager,Mid Level
388,DevOps Engineer,Entry Level
389,Security Analyst,Entry Level
390,Network Administrator,Mid Level
391,Database Administrator,Entry Level
392,AI Engineer,Entry Level
393,Network Administrator,Entry Level
394,Data Scientist,Mid Level
395,Security Analyst,Mid Level
396,DevOps Engineer,Senior
397,Cloud Architect,Senior
398,Product Manager,Senior
399,UX Designer,Entry Level
400,DevOps Engineer,Senior
401,Data Scientist,Entry Level
402,AI Engineer,Senior
403,DevOps Engineer,Entry Level
404,Security Analyst,Mid Level
405,AI Engineer,Entry Level
406,UX Designer,Entry Level
407,UX Designer,Entry Level
408,Security Analyst,Entry Level
409,AI Engineer,Mid Level
410,Data Scientist,Entry Level
411,AI Engineer,Entry Level
412,Cloud Architect,Mid Level
413,Cloud Architect,Senior
414,Cloud Architect,Mid Level
415,Database Administrator,Mid Level
416,Software Developer,Mid Level
417,Network Administrator,Entry Level
418,Database Administrator,Entry Level
419,DevOps Engineer,Entry Level
420,Network Administrator,Senior
421,Database Administrator,Mid Level
422,AI Engineer,Senior
423,Database Administrator,Mid Level
424,AI Engineer,Mid Level
425,Database Administrator,Senior
426,Product Manager,Senior
427,Product Manager,Mid Level
428,Data Scientist,Mid Level
429,UX Designer,Senior
430,DevOps Engineer,Senior
431,Cloud Architect,Senior
432,Security Analyst,Mid Level
433,Product Manager,Entry Level
434,Software Developer,Senior
435,UX Designer,Mid Level
436,Cloud Architect,Entry Level
437,Network Administrator,Entry Level
438,Network Administrator,Mid Level
439,DevOps Engineer,Entry Level
440,Data Scientist,Senior
441,Network Administrator,Senior
442,UX Designer,Mid Level
443,Database Administrator,Entry Level
444,DevOps Engineer,Mid Level
445,Cloud Architect,Entry Level
446,UX Designer,Mid Level
447,Data Scientist,Senior
448,Database Administrator,Senior
449,UX Designer,Entry Level
450,Cloud Architect,Entry Level
451,Security Analyst,Mid Level
452,Security Analyst,Mid Level
453,UX Designer,Senior
454,Network Administrator,Mid Level
455,Database Administrator,Senior
456,Cloud Architect,Senior
457,DevOps Engineer,Senior
458,Database Administrator,Entry Level
459,Network Administrator,Senior
460,UX Designer,Mid Level
461,Network Administrator,Senior
462,Network Administrator,Senior
463,UX Designer,Mid Level
464,Software Developer,Mid Level
465,Database Administrator,Mid Level
466,DevOps Engineer,Mid Level
467,Cloud Architect,Mid Level
468,Database Administrator,Mid Level
469,DevOps Engineer,Entry Level
470,Security Analyst,Mid Level
471,AI Engineer,Mid Level
472,Network Administrator,Senior
473,Network Administrator,Entry Level
474,Network Administrator,Entry Level
475,Software Developer,Mid Level
476,UX Designer,Entry Level
477,Network Administrator,Entry Level
478,DevOps Engineer,Entry Level
479,UX Designer,Mid Level
480,Database Administrator,Mid Level
481,Security Analyst,Senior
482,AI Engineer,Mid Level
483,Database Administrator,Mid Level
484,Network Administrator,Entry Level
485,Security Analyst,Entry Level
486,Software Developer,Entry Level
487,Database Administrator,Mid Level
488,Product Manager,Senior
489,Software Developer,Entry Level
490,Data Scientist,Mid Level
491,Security Analyst,Senior
492,Cloud Architect,Mid Level
493,DevOps Engineer,Senior
494,Software Developer,Mid Level
495,Database Administrator,Senior
496,Cloud Architect,Entry Level
497,DevOps Engineer,Entry Level
498,Security Analyst,Entry Level
499,DevOps Engineer,Senior
500,AI Engineer,Mid Level
